推,噓,分數,作者,標題,時間
11,2,9,hahaha021225 (安安你好),[問卦] 除濕機除濕時，人可以在旁邊嗎？,Sat May 30 02:56:29 2020
2,0,2,abcgo (真冷的冬天),[問卦] 關於農業我們知道嗎？,Sat May 30 07:59:58 2020
0,0,0,derekhsu (華麗的天下無雙),[爆卦] 全球病例增速擴大破600萬，緩解跡象出現,Sat May 30 11:04:34 2020
7,2,5,playla (比較愛),[問卦] 番茄醬是什麼鬼東西,Sat May 30 07:42:30 2020
3,3,0,love1500274 (CoWuCoWu),[問卦] 很多人看文章484只看標題不看內文,Sat May 30 07:06:14 2020
26,2,24,CavendishJr (伊井野梅西子),[問卦] 美洲獅梅西舒服的生活><,Sat May 30 07:07:25 2020
68,5,63,gay731 (G少),[新聞] 通姦罪掰了！網紅律師曝「6種人受益最大,Sat May 30 09:16:23 2020
0,0,0,Punchline (哏),[問卦] rapper除了阿姆其他都垃圾吧？,Sat May 30 11:07:17 2020
9,5,4,Beanoodle (津崎似超人平匡先生),[問卦] 沒看過想見你怎麼跟女生有話題？,Sat May 30 05:18:20 2020
4,1,3,gracew0709 (succinyl choline),[問卦] 割蛋蛋為什麼不算侵犯器官權,Sat May 30 02:57:09 2020
34,1,33,Taiwanese (臺灣人),[問卦] 大直是不是很多有錢人阿,Sat May 30 09:20:43 2020
14,1,13,MeiHS (囧),[問卦] 北海道最強最推的拉麵湯頭是哪一個勒？,Sat May 30 01:35:50 2020
0,0,0,minthan (天映藍小可),[問卦] 按讚之後多久可以再按讚一次,Sat May 30 11:10:09 2020
6,1,5,typeklng (  ),[爆卦] BlackLivesMatters,Sat May 30 10:03:42 2020
8,1,7,hk416 (☑☠☜✉☎♂♀♪嫑嫑的),Re,Sat May 30 02:09:59 2020
19,6,13,hoanbeh (初入江湖淨添堵),Re,Sat May 30 07:29:51 2020
10,1,9,homerun2005 (ほめる),[問卦] 到底韭菜為啥不介意貧富不均？,Sat May 30 10:05:00 2020
8,0,8,koheik2 (ko),[問卦] 想領紓困+失業補助 選甚麼工作好?,Sat May 30 01:56:02 2020
8,17,-9,Adelaide66 (baby66),[新聞] 鄉民女神懷孕突聞到檀香味 宮廟男星現身,Sat May 30 09:07:14 2020
2,0,2,loser1 (拍嘎爪得白醬),Re,Sat May 30 02:08:55 2020
5,2,3,teeheehee (軟尾拋拋翔(′・ω・`)),[問卦] 異形電影哪一部最糞？,Sat May 30 01:02:41 2020
1,0,1,akanishiking (arnold jackson),[問卦] Yellow Lives會被重視嗎？,Sat May 30 10:39:19 2020
5,4,1,hika1234 (魚飄飄),Re,Sat May 30 03:13:02 2020
24,6,18,notfound0506 (存在の証明),[問卦] 文筆很好可以幹嘛,Sat May 30 03:35:19 2020
2,3,-1,funsky (小妹笑嘻嘻OuO),[問卦] 好樂迪484盤子去的地方啊,Sat May 30 02:24:34 2020
7,7,0,Nigger5566 (尼哥56),[問卦] 獵人選舉篇是不是過譽了,Sat May 30 02:44:12 2020
17,0,17,tennoji2003 (),[問卦] 台北人到南部最難適應的是什麼？,Sat May 30 00:53:21 2020
19,2,17,wang1b (唯i廢文<3),[問卦] 素食者的寵物也會吃素嗎,Sat May 30 10:19:19 2020
14,0,14,randy211161 (一生只愛みおな♡),Re,Sat May 30 01:28:50 2020
